Metadata,Description Network,Category,Collection,Tags,Short,Vertex Type,Edge Type,Format,Edge Weights,Description,Citation/Link,DOI,,,,,,,,
Miscellaneous Network Names,,,,,,,,,,,,,,,,,,,,
08Blocks,Symmetric Powers of Graphs,,SuiteSparse Matrix Collection,combinatorial problem,,,,,Weighted,"Symmetric powers of graphs from Gordon Royle, univ of Western Australia",http://research-repository.uwa.edu.au/en/publications/symmetric-squares-of-graphs(bbd0b99f-9ad3-4d8c-8c8c-b55b5429668b)/export.html,10.1016/j.jctb.2006.04.002,,,,,,,,
1138-Bus,Power Network,,,"power network problem, weighted network",,,,,Weighted,"S ADMITTANCE MATRIX 1138 BUS POWER SYSTEM, D.J.TYLAVSKY, JULY 1985.",https://sparse.tamu.edu/HB/494_bus,,,,,,,,,
12month1,Undirected Bipartite Graph,,,undirected bipartite graph,,,,,Unweighted,"12 months, 12,646 users from digg.com. Steven Buss",https://sparse.tamu.edu/Buss/12month1,,,,,,,,,
130BIT,Combinatorial problem,,,Combinatorial problem,,,,,Unweighted,"Quadratic sieve; factoring a 130bit number. D. Priebel, Tenn. Tech Univ",https://www.cise.ufl.edu/research/sparse/matrices/Priebel/130bit.html,,,,,,,,,
144,undirected DIMACS10 set,,SuiteSparse Matrix Collectionn,undirected graph,,,,,unweighted,DIMACS10 set,https://www.cise.ufl.edu/research/sparse/matrices/DIMACS10/144.html,,,,,,,,,
145bit,Combinatorial Problem,,SuiteSparse Matrix Collectionn,combinatorial problem,,,,,Unweighted,"Quadratic sieve; factoring a 145bit number. D. Priebel, Tenn. Tech Univ",https://www.cise.ufl.edu/research/sparse/matrices/Priebel/145bit.html,,,,,,,,,
162bit,Combinatorial Problem,,SuiteSparse Matrix Collection,combinatorial problem,,,,,Unweighted,"Quadratic sieve; factoring a 162bit number. D. Priebel, Tenn. Tech Univ",https://sparse.tamu.edu/Priebel/162bit,,,,,,,,,
176bit,Combinatorial Problem,,SuiteSparse Matrix Collectionn,combinatorial problem,,,,,Unweighted,"Quadratic sieve; factoring a 176bit number. D. Priebel, Tenn. Tech Univ",https://www.cise.ufl.edu/research/sparse/matrices/Priebel/176bit.html,,,,,,,,,
192bit,Combinatorial Problem,,SuiteSparse Matrix Collectionn,combinatorial problem,,,,,Unweighted,"Quadratic sieve; factoring a 192bit number. D. Priebel, Tenn. Tech Univ",https://www.cise.ufl.edu/research/sparse/matrices/Priebel/192bit.html,,,,,,,,,
208bit,Combinatorial Problem,,SuiteSparse Matrix Collection,combinatorial problem,,,,,Unweighted,"Quadratic sieve; factoring a 208bit number. D. Priebel, Tenn. Tech Uni",https://sparse.tamu.edu/Priebel/208bit,,,,,,,,,
2D-27628-bjtcai,Semiconductor Device Problem,,SuiteSparse Matrix Collection,"semiconductor device problem, weighted network",,,,,Weighted,"Olaf Schenk, Univ. Basel",https://sparse.tamu.edu/Schenk_IBMSDS/2D_27628_bjtcai,,,,,,,,,
